Year,Decade,Title,Author,Gender,Race,Race Simplified,Birth Year,Age
1918,1910,His Family,Ernest Poole,Male,White,1,1880,38
1919,1910,"The Magnificent Ambersons (The Growth Trilogy, #2)",Booth Tarkington,Male,White,1,1869,50
1921,1920,The Age of Innocence,Edith Wharton,Female,White,1,1862,59
1922,1920,Alice Adams,Booth Tarkington,Male,White,1,1869,53
1923,1920,One of Ours,Willa Cather,Female,White,1,1873,50
1924,1920,"The Able McLaughlins (The McLaughlins, #1)",Margaret Wilson,Female,White,1,1882,42
1925,1920,So Big ,Edna Ferber,Female,White,1,1885,40
1926,1920,Arrowsmith,Sinclair Lewis,Male,White,1,1885,41
1927,1920,Early Autumn: A Story of a Lady,Louis Bromfield,Male,White,1,1896,31
1928,1920,The Bridge of San Luis Rey,Thornton Wilder,Male,White,1,1897,31
1929,1920,Scarlet Sister Mary,Julia Peterkin,Female,White,1,1880,49
1930,1930,Laughing Boy: A Navajo Love Story,Oliver La Farge,Male,White,1,1901,29
1931,1930,Years of Grace,Margaret Ayer Barnes,Female,White,1,1886,45
1932,1930,"The Good Earth (House of Earth, #1)",Pearl S. Buck,Female,White,1,1892,40
1933,1930,The Store,T.S. Stribling,Male,White,1,1881,52
1934,1930,Lamb in His Bosom,Caroline Miller,Female,White,1,1903,31
1935,1930,Now in November,Josephine Winslow Johnson,Female,White,1,1910,25
1936,1930,Honey in the Horn,H.L. Davis,Male,White,1,1894,42
1937,1930,Gone with the Wind,Margaret Mitchell,Female,White,1,1900,37
1938,1930,The Late George Apley,John P. Marquand,Male,White,1,1893,45
1939,1930,The Yearling,Marjorie Kinnan Rawlings,Female,White,1,1896,43
1940,1940,The Grapes of Wrath,John Steinbeck,Male,White,1,1902,38
1942,1940,In This Our Life,Ellen Glasgow,Female,White,1,1873,69
1943,1940,Dragon's Teeth (World's End & Lanny Budd #3),Upton Sinclair,Male,White,1,1878,65
1944,1940,Journey in the Dark,Martin Flavin,Male,White,1,1883,61
1945,1940,A Bell for Adano,John Hersey,Male,White,1,1914,31
1947,1940,All The King's Men,Robert Penn Warren,Male,White,1,1905,42
1948,1940,Tales of the South Pacific,James Michener,Male,White,1,1907,41
1949,1940,Guard of Honor,James Gould Cozzens,Male,White,1,1903,46
1950,1950,The Way West,A.B. Guthrie Jr.,Male,White,1,1901,49
